ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
671434004,Contact,Carl Sagan,1985,Simon Schuster Trade
590408011,Adventures of Huckleberry Finn,Mark Twain,1987,Scholastic
671796585,Trial By Fire,Harold Coyle,1993,Pocket
684832828,Accordion Crimes,E. Annie Proulx,1996,Scribner Book Company
330232932,The Naive and Sentimental Lover,John le Carre,1973,Pan Macmillan
451178025,Blood Test,Jonathan Kellerman,1995,Signet Book
140295577,Fever Pitch,Nick Hornby,2002,Penguin Books Ltd
345466624,Over the Edge,JONATHAN KELLERMAN,2004,Ballantine Books
425155064,Terminal,Robin Cook,1999,Berkley Publishing Group
451160444,Christine,Stephen King,2004,Signet Book
375404481,Uncle Tungsten: Memories of a Chemical Boyhood,Oliver W. Sacks,2001,Alfred A. Knopf
671775391,CRUEL DOUBT,Joe McGinniss,1992,Pocket
452280028,Billy Bathgate,E. L. Doctorow,1998,Plume Books
671501488,Waiting to Exhale,Terry McMillan,1994,Washington Square Press
385476876,Healing and the Mind,Bill Moyers,1995,Main Street Books
786002700,Dangerous Games,Amanda Scott,1996,Pinnacle Books
849944716,Elixir,Davis Bunn,2004,WestBow Press
152008764,Hang a Thousand Trees with Ribbons: The Story of Phillis Wheatley,Ann Rinaldi,1996,Gulliver Books
553210181,Pride and Prejudice,Jane Austen,1981,Bantam Books
451126505,Cujo,Stephen King,1982,New American Library
425097609,Whispers,Dean R. Koontz,1997,Berkley Publishing Group
671831216,Tales of Power,Carlos Casta?eda,1979,Simon &amp; Schuster Adult Publishing Group
941423999,Parable of the Sower,Octavia E. Butler,1993,Pub Group West
446515051,Spencerville,Nelson Demille,1994,Replica Books
8481302139,A Sangre Fria,Truman Capote,2001,Colleccion Millenium
671711172,Seven Habits of Highly Effective People,Stephen R. Covey,1992,Simon &amp; Schuster (Trade Division)
679760806,The Master and Margarita,Mikhail Bulgakov,1996,Vintage Books USA
6148891,Circus,Alistair Maclean,1977,HarperCollins Publishers
184195182X,69 Things to Do with a Dead Princess,Stewart Home,2002,Canongate Pub.
316724440,Vineland,Thomas Pynchon,1990,Little Brown &amp; Co
5551154718,Open House,Elizabeth Berg,2000,Random House
074350884X,Envy,Sandra Brown,2001,Audioworks
786887583,Napalm &amp; Silly Putty,George Carlin,2002,Hyperion
373833296,Sweet Promise,Janet Dailey,1996,Harlequin
316351679,Ghost Girl: The True Story of a Child in Peril and the Teacher Who Saved Her,Torey L. Hayden,1991,Little Brown &amp; Co
067169054X,DR. SPOCK'S BABY AND CHILD CARE,Benjamin Spock,1989,Pocket
60269871,Chasing Redbird,Sharon Creech,1997,Joanna Cotler
451410513,Dead Ringer,Charles Smithdeal,2002,Onyx Books
380002558,The Velveteen Rabbit,Margery Williams,1999,Avon
553713566,White Shark,Peter Benchley,2002,Random House Audio Publishing Group
1570426449,The Midnight Club,James Patterson,1999,Time Warner Audio Major
61012882,Second Sight,Beth Amos,1998,Harper Mass Market Paperbacks (Mm)
812532457,Colony,Ben Bova,1988,Tor Books
051511605X,Undue Influence,Steven Paul Martini,1995,Jove Books
375502548,Omerta,Mario Puzo,2000,Random House Trade
379200027X,Der Kleine Prinz,Antoine de Saint-Exupery,2000,Rauch
446615145,The Lake House,James Patterson,2004,Warner Books
451451317,Moving Pictures,Terry Pratchett,1992,New Amer Library
449232921,The Grass Is Always Greener Over the Septic Tank,Erma Bombeck,1978,Fawcett Books
312927223,The Med,David Poyer,1993,St. Martin's Press
014008889X,Stars and Bars,William Boyd,1986,Penguin USA
1559273828,Emotional Intelligence : Why it can matter more than IQ,Daniel Goleman,1995,Audio Renaissance
1574530011,Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder,1998,Audio Literature
055347782X,Icon,Frederick Forsyth,1996,Random House
375701303,Breaking Clean,Judy Blunt,2003,Vintage Books USA
525945563,Red Dragon,Thomas Harris,2000,Dutton Books
380000725,Jamaica Inn,Daphne Du Maurier,1988,Harper Mass Market Paperbacks
440131863,Good as Gold,Joseph L. Heller,1985,Dell Publishing Company
515090328,Robert's Rules of Order,Henry M. Robert,1991,Jove Books
618127240,Dakota: A Spiritual Geography,Kathleen Norris,2001,Mariner Books
446516325,Fat Tuesday,Sandra Brown,1997,Warner Books Inc
553208071,Night,Elie Wiesel,1982,Bantam Books
446519871,Cloud Mountain,Aimee Liu,1997,Warner Books
000225414X,Winston's War,Michael Dobbs,2002,HarperCollins
042515601x,Acts of War (Tom Clancy's Op Center (Paperback)),Tom Clancy,1997,Berkley Publishing Group
224051709,Amsterdam,Ian McEwan,1998,Trafalgar Square
1585422118,The Hemingway Book Club of Kosovo,Paula Huntley,2003,Jeremy P. Tarcher
084395311X,Rage,Steve Gerlach,2004,Leisure Books
553242962,Bourne Identity,Robert Ludlum,1982,Bantam Books
345423496,3001: The Final Odyssey,Arthur C. Clarke,1998,Del Rey Books
517582155,Last Chance to See,Douglas Adams,1991,Random House Inc
451213599,Four Past Midnight,Stephen King,2004,Signet Book
679430628,Jurassic Park,Michael Crichton,1993,Random House Inc
1564142493,100 Ways to Motivate Yourself,Steve Chandler,1996,Career Pr
613222407,Rainbow Six,Clancy Tom,1999,Sagebrush Bound
039914207X,Chromosome 6,Robin Cook,1997,Putnam Publishing Group
449908623,Guardian,John Saul,1993,Ballantine Books
670851086,Nightmares &amp; Dreamscapes,Stephen King,1993,Viking Books
039913591X,Cold Fire,Dean R. Koontz,1991,Putnam Publishing Group
038528120X,CATCH 22,JOSEPH HELLER,1904,Delta
743205405,Take the Cannoli : Stories From the New World,Sarah Vowell,2001,Simon &amp; Schuster
440416582,The Promise,Jackie French Koller,2001,Yearling Books
60177217,Her Own Rules,Barbara Taylor Bradford,1996,Harpercollins
671778706,GRAND PASSION,Jayne Ann Krentz,1994,Atria
453006663,Born of the Sun,Joan Wolf,1989,New Amer Library
871883937,Red Storm Rising,Sound Editions,1986,Random House Audio
671866400,I'LL BE SEEING YOU,Mary Higgins Clark,1993,Audioworks
553452991,The Firm,John Grisham,1991,Random House Audio
61002615,Prodigy,Michael Stewart,1991,Harper Mass Market Paperbacks (Mm)
1570427119,Void Moon,Michael Connelly,2000,Time Warner Audio Major
140863222,The Regulators,Richard Bachman,1996,Penguin Highbridge Audio
743520955,From A Buick 8 : A Novel,Stephen King,2002,Audioworks
038531972X,Ghost Moon,Karen Robards,2000,Delacorte Press
440135974,Highland Fling,May MacIntosh,1978,Dell Publishing
553502697,From the Corner of His Eye,DEAN KOONTZ,2000,Random House Audio
553268082,Love Medicine,Louise Erdrich,1987,Bantam Books
1855940027,The Kiss,Linda Cullen,1991,Attic Press
380898187,Forever in Your Embrace,Kathleen E. Woodiwiss,1992,Avon
747260729,Among the Missing,Richard Laymon,2000,Headline Book Publishing
449203905,Earth Abides,George R. Stewart,1983,Fawcett Books
373104766,Bitter Harvest,Anne Hampson,1982,Harlequin Books
385316860,Secrecy,Belva Plain,1997,Bantam Dell Pub Group
739427113,The Other Boleyn Girl,Philippa Gregory,2001,Scribner
886779537,Tailchaser's Song,Tad Williams,2000,Daw Books
345433157,The Wild Child,Mary Jo Putney,1999,Ballantine Books
345301072,Inherit the Stars,James Patrick Hogan,1978,Del Rey Books
553375628,Bellwether,Connie Willis,1996,Bantam
441798411,Tarot,Piers Anthony,1987,Berkley Pub Group
553455559,The Wedding,Danielle Steel,2000,Random House Audio Publishing Group
553712837,Skipping Christmas,John Grisham,2001,Bantam Books-Audio
192815032,Pride and Prejudice,Jane Austen,1987,Oxford University Press
684174871,Ethan Frome,Edith Wharton,1982,Scribner Book Company
749301228,The Power of One,Bryce Courtenay,1990,Mandarin
316171654,The Proud and the Free,Janet Dailey,1994,Little Brown &amp; Co
345360001,The Mummy or Ramses the Damned,Anne Rice,1989,Ballantine Books
2253004863,Madame Bovary,Gustave Flaubert,2000,Ideal Foreign Books
2070512541,Matilda,Roald Dahl,2002,Contemporary French Fiction
61084409,The Beach House,Georgia Bockoven,1997,HarperTorch
316955019,War and Remembrance,Herman Wouk,1978,Little Brown &amp; Co
425099261,Starship Troopers,Robert A. Heinlein,1986,Berkley Publishing Group
373151500,The Hostage Bride,Janet Dailey,1981,Harlequin
515104868,Savannah,Eugenia Price,1990,Berkley Pub Group
380001098,Gone With the Wind,Margaret Mitchell,1991,Avon Books
451404726,Fever Pitch,Elizabeth Neff Walker,1995,New Amer Library (Mm)
440212405,Beguiled,Laura Parker,1993,Dell Publishing Company
61087017,Legend,Sharon Sala,1998,HarperTorch
380786443,Beast,Judith Ivory,1997,Avon
385316925,Fortune's Hand,Belva Plain,1999,Bantam Dell Pub Group
451406915,See How They Run,Marilyn Campbell,1996,Onyx Books
425117405,Masquerade,Serena Richards,1989,Berkley Pub Group
039914434X,Field of Thirteen,Dick Francis,1998,Putnam Pub Group
449223221,Deck the Halls,Marian Devon,1995,Ivy Books
312154976,The Conquest,Elizabeth Chadwick,1997,St. Martin's Press
373272979,Last Man Standing,Wendy Rosnau,2003,Silhouette
671682865,MY SWEET AUDRINA,V.C. Andrews,1989,Pocket
440124476,EAST OF DESOLATION,JACK HIGGINS,1982,Dell
425111830,Search the Shadows,Barbara Michaels,1990,Berkley Publishing Group
345450728,Distant Shores,Kristin Hannah,2003,Ballantine Books
1853260738,Moll Flanders,Daniel Defoe,1999,NTC/Contemporary Publishing Company
312953186,Flesh and Blood,James Neal Harvey,1996,St Martins Pr (Mm)
671463969,Hamlet,William Shakespeare,1990,Pocket Books (Mm)
451166833,Anthem,Ayn Rand,1989,Signet Book
345332105,The Two Towers,J. R. R. Tolkien,1985,Not Avail
804111340,A Thousand Acres,Jane Smiley,1992,Ballantine Books
525484957,Danger,Debbie Cymbalista,1989,Penguin USA
1551668815,Fulfillment,Barbara Delinsky,2002,Mira
1573227978,The Beach,Alex Garland,2000,Riverhead Books
671667041,STRANGERS,Rosie Thomas,1988,Pocket
440295424,The Rainmaker,John Grisham,1996,Doubleday Books
821744941,Dark Angel,Anna Grant,1994,Zebra Books
781409470,Shadow of Doubt,Diane K. Todd,1992,Cook Communications Ministries intl
1551668645,Slow Burn,Heather Graham,2001,Mira
786864982,Night Gardening,E. L. Swann,1999,Hyperion
802130933,Naked Lunch,William S. Burroughs,1991,Grove Press
374324247,Follow the river,James D Forman,1975,Farrar
380001152,The Oath,Elie Wiesel,1971,Avon Books
140504176,Lion,William Pene Dubois,1983,Penguin USA
380789930,Beautiful Dreamer,Elizabeth Lowell,2000,William Morrow &amp; Company
515121827,The Deal,Sabin Willett,1997,Jove Books
1573455369,Tathea,Anne Perry,1999,Deseret Book Company
965881156,The Diaries of Adam and Eve,Mark Twain,2002,Fair Oaks Press
916515982,Remember Me,Suzanne Lipsett,1991,Consortium Book Sales &amp; Dist
1555912400,Biblioholism: The Literary Addiction,Tom Raabe,2001,Fulcrum Publishing
689824688,WHEN KAMBIA ELAINE FLEW IN FROM NEPTUNE,Lori Aurelia Williams,2000,Simon &amp; Schuster Children's Publishing
671032992,Heartbreaker,Julie Garwood,2000,Atria
312142870,The Book of Shadows,C. L. Grace,1996,St. Martin's Press
517118807,Frankenstein,Mary Wollstonecraft Shelley,1994,Gramercy Books
590189360,Lost in Space,Judy Katschke,1998,Scholastic
553111248,Passage,Connie Willis,2001,Bantam Books
399137718,Terminal,Robin Cook,1992,Putnam Pub Group
038531387X,Deliverance,JAMES DICKEY,1994,Delta
044661162x,Chasing the Dime,Michael Connelly,2003,Warner Books
451072804,Carrie,Stephen King,1975,New American Library
345272552,The Silmarillion,J. R. R. Tolkien,1979,Not Avail
380973464,Cryptonomicon,Neal Stephenson,1999,Avon
033048205X,The Princess Diaries,Meg Cabot,2001,Macmillan Children's Books
3423123354,Die Insel des vorigen Tages.,Umberto Eco,1997,Dtv
394542908,Davita's Harp,Chaim Potok,1985,Random House Inc
679456589,The Man Who Listens to Horses,Monty Roberts,1997,Random House
61085081,Homecoming,Janet Dailey,1997,HarperTorch
312961685,Dream a Little Dream,Antoinette Stockenberg,1997,St. Martin's Press
1931768269,The Protector,Dawn Walker,2002,Protea Publishing Company
1931768250,The Protector,Dawn Walker,2002,Protea Publishing Company
553802518,The Survivors Club,LISA GARDNER,2002,Bantam
1570719713,First Lady,Michael Malone,2002,Sourcebooks Landmark
812532570,Speaker for the Dead (Ender Wiggins Saga (Paperback)),Orson Scott Card,1987,Tor Books
66620724,Just for Fun: The Story of an Accidental Revolutionary,Linus Torvalds,2001,HarperBusiness
140350047,The Secret Garden (Puffin Classics),Frances Hodgson Burnett,1982,Puffin Books
037550074X,A Small Dark Place,Martin Schnek,1997,Random House Inc
590405233,White Fang,Jack London,1986,Scholastic
60083425,Absolute Zero,Chuck Logan,2002,HarperAudio
60008296,Courting Trouble,Lisa Scottoline,2002,HarperAudio
440221463,All Our Yesterdays,ROBERT PARKER,1995,Dell
425062716,Rebellion,Oliver Payne,1983,Berkley Publishing Group
345439015,Prospero's Children,Jan Siegel,2000,Del Rey Books
316171565,Tangled Vines,Janet Dailey,1992,Little Brown &amp; Co
786011440,Cradle and All,Zachary Alan Fox,2000,Pinnacle Books
345415000,The Hellfire Club,Peter Straub,1997,Ballantine Books
771065094,A Short History of Canada,Desmond Morton,2001,McClelland &amp; Stewart
441873251,Warlock Unlocked,Christopher Stasheff,1982,Penguin Putnam~mass
764222147,Firebird,Kathy Tyers,1999,Bethany House Publishers
553265830,Scents,Johanna Kingsley,1985,Bantam Books
671568663,HOME FOR THE HOLIDAYS,Chris Radant,1995,Pocket
525934774,Cosmic Wormholes: The Search for Interstellar Shortcuts,Paul Halpern,1992,Penguin USA
553253123,Being There,Jerzy N. Kosinski,1985,Bantam Books
055357535X,The Stories of Eva Luna,Isabel Allende,1992,Bantam
679412611,Plain Jane,Eve Horowitz,1992,Random House Inc
743418719,Salem Falls,Jodi Picoult,2002,Washington Square Press
684845075,THREE WISHES,Barbara Delinsky,1997,Simon &amp; Schuster
399143769,Flight of Eagles,Jack Higgins,1998,Putnam Pub Group
399143629,Critical Mass,Steven Paul Martini,1998,Putnam Pub Group
525947051,The First Law,John Lescroart,2003,Dutton Books
399148817,Sleep No More,Greg Iles,2002,Putnam Adult
553801929,Dark Horse,TAMI HOAG,2002,Bantam
039913879X,Fatal Cure,Robin Cook,1994,Putnam Pub Group
60194448,The Wailing Wind,Tony Hillerman,2002,HarperCollins Publishers
399148337,Midnight Runner,Jack Higgins,2002,Putnam Publishing Group
140307990,The dark is rising,Susan Cooper,1976,Puffin Books
395362962,The Wasp Factory,Iain Banks,1984,Houghton Mifflin
375403825,The House on Mango Street,Sandra Cisneros,1998,Random House Audio Publishing Group
553076256,Half Asleep in Frog Pajamas,Tom Robbins,1994,Bantam Books
425186059,A Village Affair,Joanna Trollope,2002,Berkley Publishing Group
449911837,Davita's Harp,Chaim Potok,1996,Ballantine Books
051513449x,Guilty Pleasures (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1995,Jove Books
345325338,The Outside Man,Richard North Patterson,1985,Ballantine Books
312868723,The Deal,Joe Hutsko,1999,Forge
375415750,Horse Heaven,Jane Smiley,2000,Random House Audio
694525332,Bel Canto,Ann Patchett,2001,HarperAudio
553199846,The Negotiator,Frederick Forsyth,1992,Bantam Books
446671029,Old Songs in a New Cafe : Selected Essays,Robert James Waller,1995,Warner Books
747525722,The Tortilla Curtain,Coraghessan T. Boyle,1996,Raincoast Book Dist Ltd
312152175,Surfing the Himalayas: A Spiritual Adventure,Frederick Lenz,1997,St. Martin's Press
157815118X,Anna Karenina,Leo Tolstoy,2004,Media Books Audio Publishing
553211498,Lady Chatterley's Lover,D. H. Lawrence,1983,Bantam Books
60007788,Finding Fish: A Memoir,Antwone Q. Fisher,2001,Perennial
2290049913,Blade,Mel Odom,1999,J'ai lu
440225108,The Plague Tales,ANN BENSON,1998,Dell
345420748,While I Was Gone,Sue Miller,2002,Ballantine Books
451523504,The Scarlet Letter,Nathaniel Hawthorne,1959,New Amer Library Classics
517703394,The Brimstone Wedding,Barbara Vine,1996,Random House Inc
375431624,Skipping Christmas,JOHN GRISHAM,2001,Random House Large Print
140238212,Pride and Prejudice,Jane Austen,1995,Penguin Books Ltd
805053093,The Satanic Verses,Salman Rushdie,1997,Owl Books (NY)
704380943,Class Trip,Emmanuel Carrere,1998,Quartet Books Ltd
460010212,Sense and Sensibility,Jane Austen,1979,J m Dent &amp; Sons Ltd
684816121,Popcorn,Ben Elton,1996,Simon &amp; Schuster
1585673080,Billy,Pamela Stephenson,2002,Overlook Press
345328515,Sudden Death,William X. Kienzle,1992,Fawcett Books
395346452,The Kingdom by the Sea: A Journey Around Great Britain,Paul Theroux,1983,Houghton Mifflin Company
60809507,People of Darkness,Tony Hillerman,1988,Perennial
99271273,The Rainmaker,John Grisham,1998,Arrow
1860498280,Slammerkin,Emma Donoghue,2000,Trafalgar Square
553299204,A Matter of Honor,John R. Maxim,1993,Bantam Books
515121487,To the Hilt,Dick Francis,1997,Jove Books
140865543,The Jungle Book (Puffin Classics),Rudyard Kipling,2004,Penguin Children's Audiobooks
671720937,Borders of Infinity,Lois McMaster Bujold,2001,Baen Books
451148703,When the Bough Breaks,Jonathan Kellerman,1986,Signet Book
385311079,The Carousel,Belva Plain,1995,Bantam Dell Pub Group
1858912164,The Prophet,Kahlil Gibran,1994,Senate Books
743453344,The Killing Kind,John Connolly,2002,Atria Books
142000159,Brunelleschi's Dome: How a Renaissance Genius Reinvented Architecture,Ross King,2001,Penguin Books
451157486,Atlas Shrugged,Ayn Rand,1982,Penguin Putnam~mass
380702665,Deep Lie,Stuart Woods,1989,Harper Mass Market Paperbacks (Mm)
306812274,How to Lose Friends &amp; Alienate People,Toby Young,2003,Da Capo Press
449203344,The Chosen,Chaim Potok,1982,Fawcett Books
380707616,Downtown,Ed McBain,1993,Harper Mass Market Paperbacks
553289721,Mercy,David Lindsey,1991,Bantam Books
752817299,Alchemist,Peter James,1999,Orion Publishing Group
345377087,Dear James,Jon Hassler,1995,Ballantine Books
345362454,Twins,Roxanne Pulitzer,1991,Ballantine Books
345466608,When the Bough Breaks,JONATHAN KELLERMAN,2003,Ballantine Books
038530241X,Mosaic,Susan Moody,1991,Bantam Dell Pub Group
345366204,Masquerade,William X. Kienzle,1991,Fawcett Books
140283587,Are You Experienced?,William Sutcliffe,1999,Viking Penguin Inc
037572799X,In Pursuit of the Proper Sinner,Elizabeth George,2000,Random House Large Print Publishing
525940464,Devoted,Alice Borchardt,1995,Penguin USA
743456386,The White Road,John Connolly,2003,Atria Books
446675172,Like a Hole in the Head,Jen Banbury,1999,Mysterious Press
1853264857,The Prophet,Kahlil Gibran,1997,NTC/Contemporary Publishing Company
690040784,Jacob Have I Loved,Katherine Paterson,1980,HarperCollins
425103625,A Slipping-Down Life,Anne Tyler,1992,Ivy Books
60157895,Emergency Doctor,Edward Ziegler,1987,Harpercollins
70082960,The Unlikely Ones,Mary Brown,1986,McGraw-Hill
345228928,The Last Unicorn,Peter S. Beagle,1973,Ballantine Books
525943242,Murder Under Blue Skies,Willard Scott,1998,Penguin USA
451175816,Dracula,Bram Stoker,1992,New Amer Library Classics
086492304X,Obasan,Joy Kogawa,2001,Goose Lane Editions
067168390x,Lonesome Dove,Larry McMurtry,1988,Pocket
3426621509,Flut.,Wolfgang Hohlbein,2002,Droemersche Verlagsanstalt Th. Knaur Nachf.
553381342,The Bonfire of the Vanities,TOM WOLFE,2001,Bantam
451529308,Little Women,Louisa May Alcott,2004,Signet Classics
515057266,The Funhouse,Owen West,1981,Jove Books
606060510,Terminal,Robin Cook,1996,Demco Media
786708964,Beasts,Joyce Carol Oates,2002,Carroll &amp; Graf Publishers
869143026,Headlines,Debra Adelaide,1993,McPhee Gribble
186373872X,The Scold's Bridle,Minette Walters,1995,Allen &amp; Unwin
8495971429,De Parte De LA Princesa Muerta,Kenize Mourat,2003,Planeta Pub Corp
345466616,Blood Test,JONATHAN KELLERMAN,2003,Ballantine Books
B00009NDAN,Winter Solstice,Rosamunde Pilcher,2000,St. Martin's Press
812511980,Prey,Ken Goddard,1993,Tor Books
1400033543,You Shall Know Our Velocity,DAVE EGGERS,2003,Vintage
812575911,Elixir,Gary Braver,2001,Tor Books
373260075,Full House,Shelly Singer,1988,Worldwide Library
451518144,Little Women,Louisa May Alcott,1983,Signet Book
553382160,The Complete Fairy Tales of the Brothers Grimm,Jacob Grimm,2003,Bantam
898459796,Macbeth,William Shakespeare,1985,Caedmon
451518012,Animal Farm,George Orwell,1956,Signet Book
044051214X,Child Is Born,Lennart Nilsson,1980,Bantam Doubleday Dell
812504836,The Scarlet Letter,Nathaniel Hawthorne,1996,Tor Books
812523369,Pride and Prejudice,Jane Austen,1994,Tor Books
553263986,The Lake of Darkness,Ruth Rendell,1987,Bantam Books
451525248,Great Expectations,Charles Dickens,1986,Signet Classics
745919251,Midnight Blue,Pauline Fisk,1992,Cook Communications Ministries intl
451171926,Atlas Shrugged,Ayn Rand,1992,New Amer Library
055338001X,I Know Why the Caged Bird Sings,MAYA ANGELOU,1997,Bantam
446612294,Dead Ringer,Annie Solomon,2003,Warner Books
039913414X,The Edge,Dick Francis,1989,Putnam Pub Group
821763776,Whispers,Lisa Jackson,1999,Zebra Books
821773127,Guilty Pleasures,Stella Cameron,2002,Zebra Books
60185074,The Vendetta Defense,Lisa Scottoline,2001,HarperCollins Publishers
1575665700,The Lover,Robin Schone,2000,Kensington Publishing Corp.
689806574,Baby-Sitting Is a Dangerous Job,Willo Davis Roberts,1996,Aladdin
140278826,The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,Penguin Books Ltd
449701913,Homecoming,Cynthia Voigt,1983,Fawcett Books
689835906,Beast,Donna Jo Napoli,2002,Simon Pulse
141309326,Great Expectations,Charles Dickens,2000,Penguin Putnam~trade
671799371,SHADES OF TWILIGHT,Linda Howard,1996,Pocket
451407733,Dangerous Games,Justine Dare,1999,Signet Book
590437976,Little Women,Louisa May Alcott,1992,Scholastic
884041700,L. Ron Hubbard Presents Writers of the Future (L. Ron Hubbard Presents Writers of the Future),L. Ron Hubbard,1985,Bridge Pubns
679434968,A Son of the Circus,John Irving,1994,Random House Inc
553526847,The Brethren,John Grisham,2000,Random House Audio Publishing Group
743508467,Good In Bed,Jennifer Weiner,2001,Audioworks
60919655,one hundred years of solitude,Gabriel Garcia Marquez,1991,Harpercollins Publisher
786015047,Masquerade,Lowell Cauffiel,2001,Pinnacle Books (Mm)
968190575X,Son de Mar,Manuel Vincent,1999,Aguilar
451521560,Animal Farm,George Orwell,1986,New Amer Library Classics (Mm)
743477103,Macbeth,William Shakespeare,2003,Washington Square Press
684859041,The LOOP,Joe Coomer,1999,Touchstone
505525380,Blue Moon,Laura Marie Altom,2003,Love Spell
373052111,Wizard,Stephanie James,1985,Silhouette
452278988,Love Warps the Mind a Little,John Dufresne,1998,Plume Books
312421818,The Book of Illusions: A Novel,Paul Auster,2003,Picador USA
1551665115,Inheritance,Jasmine Cresswell,2000,Mira
571199542,The Last Madam: A Life in the New Orleans Underworld,Chris Wiltz,2000,Faber &amp; Faber
460118374,Moll Flanders,Daniel Defoe,1982,J m Dent &amp; Sons Ltd
345336283,Foundation and Empire (Foundation Novels (Paperback)),ISAAC ASIMOV,1986,Del Rey
451180240,The Surgeon,Francis Roe,1994,Signet Book
316925284,A Supposedly Fun Thing I'll Never Do Again : Essays and Arguments Tag: Author of Infinite Jest,David Foster Wallace,1998,Back Bay Books
142003808,Drop City,T. Coraghessan Boyle,2004,Penguin USA (Paper)
094113086X,The Long Walk: The True Story of a Trek to Freedom,Slavomir Rawicz,1989,Lyons Press
743426797,Shock Wave (Dirk Pitt Adventures (Paperback)),Clive Cussler,2002,Pocket
446515043,The Gold Coast,Nelson Demille,1990,Warner Books Inc
60192232,The Messenger,Mayra Montero,1999,Harpercollins
684717972,Farewell to Arms,Ernest Hemingway,1929,Charles Scribner's Sons
1573227951,An Instance of the Fingerpost,Iain Pears,2000,Riverhead Books
60263857,Charlotte's Web,E. B. White,1952,Harpercollins Juvenile Books
1586210661,Me Talk Pretty One Day,David Sedaris,2001,Time Warner Audio Major
553012606,Still life with Woodpecker,Tom Robbins,1980,Bantam Books
1573225339,Reef,Romesh Gunesekera,1996,Riverhead Books
312865090,Heartlight,Marion Zimmer Bradley,1999,Tor Books
60958324,Zen and the Art of Motorcycle Maintenance: An Inquiry into Values,Robert M. Pirsig,2000,Perennial
553127454,Far Tortuga,Peter Matthiessen,1976,Bantam Books
385333269,Before and After,ROSELLEN BROWN,1998,Delta
744303354,Clearwater,Bobby R. Woodall,2002,SynergEbooks
375701524,The Hundred Secret Senses,Amy Tan,1998,Vintage Books USA
096788330X,Duncan Delaney and the Cadillac of Doom,A. L. Haskett,2000,Jonlin Books
451171810,The Dark Half,Stephen King,1994,Signet
452284430,Three,Julie Hilden,2003,Plume Books
553099612,Night Sins,Tami Hoag,1995,Bantam Dell Pub Group
671043900,Single &amp; Single,John le Carre,1999,Audioworks
674006712,Empire,Michael Hardt,2001,Harvard University Press
805058370,Mason &amp; Dixon,Thomas Pynchon,1998,Owl Books (NY)
60088877,The Bridge of San Luis Rey (Perennial Classics),Thornton Wilder,2003,Perennial Classics
671887572,The ALIENIST,Caleb Carr,1994,Audioworks
192827596,Persuasion (World's Classics),Jane Austen,1990,Oxford University Press
743421590,Salem Falls,Jodi Picoult,2001,Atria
031225346X,The Prometheus Deception,Robert Ludlum,2000,St Martins Pr
553073737,Darkness,John Saul,1991,Bantam Dell Pub Group
60959355,More Than You Know: A Novel,Beth Gutcheon,2001,Perennial
375415661,Anil's Ghost,Michael Ondaatje,2000,Random House Audio
1562010352,Story of O,Pauline Reage,1998,Blue Moon Books
451150643,Cujo,Stephen King,1983,Signet Book
151907366,To the Lighthouse,Virginia Woolf,1981,Harcourt
553228935,Inherit the Wind,Jerome Lawerence,1982,Bantam Books
037570728X,Half a Life,V. S. Naipaul,2002,Vintage Books USA
385319258,Illusions: The Adventures of a Reluctant Messiah,Richard Bach,1998,Delta Trade Paperbacks
375706852,My Name Is Red,Orhan Pamuk,2002,Vintage Books USA
694519405,I Know This Much Is True,Wally Lamb,1998,ReganBooks
486272737,Favorite Poems (Dover Thrift Editions),Henry Wadsworth Longfellow,1992,Dover Publications
671042769,Smiley's People,John le Carre,2000,Pocket
8432230308,Maurice,E. M. Forster,1993,Biblioteca de Bolsillo
399141383,Sudden Prey,John Sandford,1996,Putnam Publishing Group
044920314X,Source,James A. Michener,1976,Fawcett Books
425167097,Toxin,Robin Cook,1999,Berkley Pub Group
385720114,The Map of Love,Ahdaf Soueif,2000,Anchor Books/Doubleday
225314973X,Possessions,Julia Kristeva,2000,LGF
590454021,Perfume,Caroline B. Cooney,1997,Scholastic
671647482,MY TEACHER IS AN ALIEN,Bruce Coville,1989,Aladdin
618219064,The Wind Done Gone: A Novel,Alice Randall,2002,Mariner Books
312289871,Robert Ludlum's The Paris Option : A Covert-One Novel (A Covert-One Novel),Robert Ludlum,2002,St. Martin's Griffin
671229230,Good as Gold,Joseph Heller,1979,Simon and Schuster
892967161,One Virgin Too Many,Lindsey Davis,2000,Mysterious Press
312266502,Spider's Web,Charles Osborne,2000,St. Martin's Minotaur
399138552,Crazy in Alabama,Mark Childress,1993,Putnam Pub Group
767902815,Gob's Grief,Chris Adrian,2001,Broadway Books
043920352X,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,2000,Scholastic
385334893,Tulip Fever,Deborah Moggach,2000,Delacorte Press
068818071X,Rachel's Holiday,Marian Keyes,2000,William Morrow &amp; Company
038097617X,Watermelon,Marian Keyes,1998,William Morrow &amp; Company
64409945,The Thief of Always,Clive Barker,2002,HarperTrophy
052594530X,True North,Kimberly Kafka,2000,Dutton Books
681007702,Anne of Green Gables,L.M. Montgomery,1995,Longmeadow Press
